epoch,iso,raw_dht11
1753722702.2400553,2025-07-28T18:11:42.240065,"0.0,0.0"
1753722702.3347526,2025-07-28T18:11:42.334760,"0.0,0.0"
1753722702.440159,2025-07-28T18:11:42.440167,"0.0,0.0"
1753722702.5454435,2025-07-28T18:11:42.545452,"0.0,0.0"
1753722702.6455283,2025-07-28T18:11:42.645535,"0.0,0.0"
1753722702.7457643,2025-07-28T18:11:42.745772,"0.0,0.0"
1753722702.8460872,2025-07-28T18:11:42.846097,"0.0,0.0"
1753722702.946354,2025-07-28T18:11:42.946362,"0.0,0.0"
1753722703.046446,2025-07-28T18:11:43.046453,"0.0,0.0"
1753722703.1467276,2025-07-28T18:11:43.146735,"0.0,0.0"
1753722703.24716,2025-07-28T18:11:43.247168,"0.0,0.0"
1753722703.347216,2025-07-28T18:11:43.347223,"0.0,0.0"
1753722703.447419,2025-07-28T18:11:43.447426,"0.0,0.0"
1753722703.5476408,2025-07-28T18:11:43.547648,"0.0,0.0"
1753722703.6478364,2025-07-28T18:11:43.647843,"0.0,0.0"
1753722703.748067,2025-07-28T18:11:43.748074,"0.0,0.0"
1753722703.8482563,2025-07-28T18:11:43.848263,"0.0,0.0"
1753722703.9484684,2025-07-28T18:11:43.948475,"0.0,0.0"
1753722704.0486937,2025-07-28T18:11:44.048700,"0.0,0.0"
1753722704.1488934,2025-07-28T18:11:44.148900,"0.0,0.0"
1753722704.2491853,2025-07-28T18:11:44.249192,"0.0,0.0"
1753722704.3495288,2025-07-28T18:11:44.349536,"0.0,0.0"
1753722704.449674,2025-07-28T18:11:44.449681,"0.0,0.0"
1753722704.5498052,2025-07-28T18:11:44.549812,"0.0,0.0"
1753722704.6500185,2025-07-28T18:11:44.650025,"0.0,0.0"
1753722704.755491,2025-07-28T18:11:44.755498,"0.0,0.0"
1753722704.8608062,2025-07-28T18:11:44.860814,"0.0,0.0"
1753722727.3397033,2025-07-28T18:12:07.339712,"0.0,0.0"
1753722727.439835,2025-07-28T18:12:07.439843,"0.0,0.0"
1753722727.550271,2025-07-28T18:12:07.550279,"0.0,0.0"
1753722727.6505866,2025-07-28T18:12:07.650595,"0.0,0.0"
1753722727.7508283,2025-07-28T18:12:07.750836,"0.0,0.0"
1753722727.8510768,2025-07-28T18:12:07.851085,"0.0,0.0"
1753722727.95138,2025-07-28T18:12:07.951390,"0.0,0.0"
1753722728.0515084,2025-07-28T18:12:08.051517,"0.0,0.0"
1753722728.151771,2025-07-28T18:12:08.151779,"0.0,0.0"
1753722728.2522929,2025-07-28T18:12:08.252301,"0.0,0.0"
1753722728.3521159,2025-07-28T18:12:08.352125,"0.0,0.0"
1753722728.4523747,2025-07-28T18:12:08.452382,"0.0,0.0"
1753722728.552654,2025-07-28T18:12:08.552661,"0.0,0.0"
1753722728.6528735,2025-07-28T18:12:08.652881,"0.0,0.0"
1753722728.7529905,2025-07-28T18:12:08.752998,"0.0,0.0"
1753722728.8534305,2025-07-28T18:12:08.853438,"0.0,0.0"
1753722728.9535131,2025-07-28T18:12:08.953520,"0.0,0.0"
1753722729.0537324,2025-07-28T18:12:09.053739,"0.0,0.0"
1753722729.153947,2025-07-28T18:12:09.153954,"0.0,0.0"
1753722729.2541933,2025-07-28T18:12:09.254201,"0.0,0.0"
1753722729.3544972,2025-07-28T18:12:09.354507,"0.0,0.0"
1753722729.4548984,2025-07-28T18:12:09.454906,"0.0,0.0"
1753722729.555101,2025-07-28T18:12:09.555109,"0.0,0.0"
1753722729.6553552,2025-07-28T18:12:09.655362,"0.0,0.0"
1753722729.755555,2025-07-28T18:12:09.755562,"0.0,0.0"
1753722729.8660612,2025-07-28T18:12:09.866068,"0.0,0.0"
